Reading all blocks...
Block 0: 0xD2 0x91 0x10 0x5B 0x06 0x00 0x13 0x1A
Block 1: 0x31 0x17 0x1A 0x31 0x00 0x00 0x00 0x00
Block 2: 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00
Block 3: 0xE4 0x12 0x09 0x05 0x81 0x05 0xC8 0xBC
Block 4: 0x99 0x00 0x72 0x05 0xC8 0xD8 0x99 0x00
Block 5: 0x65 0x05 0xC8 0xFC 0x59 0x00 0x3A 0x05
Block 6: 0xC8 0xD0 0x5A 0x00 0x25 0x05 0xC8 0x20
Block 7: 0x5B 0x00 0xF4 0x04 0xC8 0x4C 0x5B 0x00
Block 8: 0xCE 0x04 0xC8 0x60 0x5B 0x00 0xA2 0x04
Block 9: 0xC8 0x68 0x5C 0x00 0x7F 0x04 0xC8 0x34
Block 10: 0x5D 0x00 0xB9 0x05 0xC8 0xE8 0x99 0x00
Block 11: 0xAE 0x05 0xC8 0xE0 0x99 0x00 0xA1 0x05
Block 12: 0xC8 0xEC 0x99 0x00 0x83 0x05 0xC8 0x1C
Block 13: 0x9A 0x00 0x89 0x05 0xC8 0x3C 0x5A 0x00
Block 14: 0x94 0x05 0xC8 0x00 0x9A 0x00 0x81 0x05
Block 15: 0xC8 0xC4 0x99 0x00 0x94 0x05 0xC8 0xA4
Block 16: 0x97 0x00 0x17 0x05 0xC8 0xF8 0x98 0x00
Block 17: 0xC1 0x04 0xC8 0x00 0x9A 0x00 0x66 0x05
Block 18: 0xC8 0xF4 0x99 0x00 0xA8 0x05 0xC8 0xE0
Block 19: 0x99 0x00 0x23 0x06 0xC8 0xE8 0x98 0x00
Block 20: 0x12 0x07 0xC8 0x00 0x98 0x00 0x17 0x07
Block 21: 0xC8 0x94 0x98 0x00 0x53 0x07 0xC8 0x58
Block 22: 0x98 0x00 0xD8 0x06 0xC8 0xC0 0x98 0x00
Block 23: 0xAA 0x05 0xC8 0x94 0x98 0x00 0xAC 0x04
Block 24: 0xC8 0x7C 0x98 0x00 0xFC 0x04 0xC8 0x8C
Block 25: 0x97 0x00 0x35 0x05 0xC8 0xD8 0x98 0x00
Block 26: 0x70 0x05 0xC8 0x0C 0x98 0x00 0x2C 0x06
Block 27: 0xC8 0x38 0x98 0x00 0x47 0x06 0xC8 0xA8
Block 28: 0x98 0x00 0x31 0x05 0xC8 0xD4 0x59 0x00
Block 29: 0x3A 0x05 0xC8 0xD4 0x59 0x00 0x45 0x05
Block 30: 0xC8 0x1C 0x5A 0x00 0x29 0x05 0xC8 0x14
Block 31: 0x5A 0x00 0x71 0x05 0xC8 0x18 0x5A 0x00
Block 32: 0x9C 0x05 0xC8 0xC8 0x59 0x00 0x35 0x04
Block 33: 0xC8 0x54 0x5A 0x00 0xB8 0x03 0xC8 0x6C
Block 34: 0x59 0x00 0x6E 0x04 0xC8 0x20 0x98 0x00
Block 35: 0x21 0x05 0xC8 0xE0 0x58 0x00 0xF1 0x04
Block 36: 0xC8 0x48 0x98 0x00 0x4F 0x05 0xC8 0xD0
